Reservoir,Reservoir_type,Year,Cyanobacteria_Max_cells/ml,logCyanoMax_cells/ml,Chlorophyll_a_ug/l,Secchi_cm,TP_ppb,P_dissolved_ppb,TKN_ppm,NH3_ppm,NOx_ppm,TOC_ppm,Alkalinity_ppm,NH36to8inflow_ppm,TKN6to8inflow_ppm,NOx6to8inflow_ppm,TP6to8inflow_ppb,TOC6to8inflow_ppm,Summer_precip_inches,Summer_precip_Z-score,mayST_Celsius,junST_Celsius,julST_Celsius,augST_Celsius,mayDO_mg/l,junDO_mg/l,mayDT_Celsius,junDT_Celsius,julDT_Celsius,augDT_Celsius
BVR,2,2000,5979.9,3.777,na,62.7,na,na,na,na,na,na,na,na,na,na,na,na,14.44,0.871,18.59,24.49,26.2,25.53,5.44,3.2,10.37,12.3,14.46,15.03
BVR,2,2001,31717.2,4.501,na,54.3,na,na,na,na,na,na,na,na,na,na,na,na,14.09,0.772,19.27,24.58,26.7,26.47,5.25,1.57,10.95,15.85,17.07,17.67
BVR,2,2002,15482,4.19,na,79,na,na,na,na,na,na,na,na,na,na,na,na,5.64,-1.602,14.99,24.76,28.57,27.76,6.79,3.5,13.67,15.69,16.09,16.13
BVR,2,2003,1770.4,3.248,na,83.7,na,na,na,na,na,na,na,na,na,na,na,na,15.57,1.188,17.26,20.82,26.63,26.93,6.32,2.45,10.04,13.05,18.76,22.06
BVR,2,2004,3647.2,3.562,na,99.5,na,na,na,na,na,na,na,na,na,na,na,na,11.87,0.149,18.55,24.65,25.28,24.97,7.04,3.06,10.04,16.11,18.82,19.95
BVR,2,2005,1678.5,3.225,na,120,na,na,na,na,na,na,na,na,na,na,na,na,8.59,-0.773,15.89,24.4,27.77,27.96,8.02,4.67,11.4,13.27,15.4,16.61
BVR,2,2006,1801.9,3.256,na,81.7,na,na,na,na,na,na,na,na,na,na,na,na,10.05,-0.363,17.56,24.81,27.61,27.04,7.14,2.51,12.05,14.74,17.13,19.01
BVR,2,2007,5751.5,3.76,na,52,na,na,0.413,0.018,0.674,5.78,142,0,0.215,1.488,9,4.1,8.06,-0.922,19.72,25.25,26.39,27.92,7.64,4.21,9.35,10.79,12.44,13.56
BVR,2,2008,24493.3,4.389,na,na,19.7,na,0.858,0.062,1.168,10.88,167.5,0.113,0.4,1.55,8.3,21,6.11,-1.47,16.65,24.03,25.65,26.41,7.96,3.81,11.25,17.93,20.96,21.4
BVR,2,2009,na,na,na,68.5,97.5,na,0.763,0.112,4.215,14.65,153.3,0.058,0.53,7.3,45,23,9.29,-0.576,19.24,24.85,25.65,27.07,7.26,3.28,12.9,15.7,16.79,18.57
